#{"t_start": 1630829532.2864673, "env_id": null}
r,l,t
-1.5930971,1260,24.013373
-2.2663321,1283,50.0956
3.1917195,2518,98.769551
-1.0832027,3506,165.552669
-0.04133822,3493,231.8124
0.14451103,3380,296.871381
-0.91209286,3232,358.733755
-2.1680129,3264,420.87094
-1.7534704,3317,483.987943
-2.3476903,3218,545.197901
-2.6889713,3162,605.889426
0.22223538,3368,670.409395
-1.5885979,2804,724.64764
-0.64476234,2981,782.465368
-3.0001159,1850,818.394322
-3.0003521,2275,862.518295
0.6109032,3036,921.989581
-1.5174056,3021,981.551597
-3.0004375,1510,1010.731896
-1.5011662,2985,1069.606142
-3.0004137,2018,1109.115765
-1.5537528,2958,1167.844779
0.10388377,3009,1228.535834
-2.9114244,2870,1287.65918
-2.5161722,2906,1348.638363
-2.7392776,2586,1403.501465
0.88643366,2672,1461.12808
0.19894199,2354,1512.386216
-1.7567407,2220,1561.597602
-3.000194,1468,1593.362172
-3.0000634,2411,1646.784198
-3.000391,1749,1684.98743
-3.000578,2008,1728.974846
-2.4600925,2789,1791.198193
-1.7733104,2655,1867.25231
-3.0000484,1489,1906.404857
-3.000293,887,1932.430931
-2.5356567,2533,2004.028893
-0.308762,2569,2075.275926
-2.211545,2700,2165.810908
-1.2194808,2521,2251.065771
-1.6316258,2501,2336.435328
-2.8005002,2577,2419.328743
-3.000879,855,2446.944948
-2.26302,2635,2532.117746
-1.8466889,2608,2617.786287
-2.4847946,2604,2702.803334
-2.155616,2596,2787.767292
-0.48795807,2642,2873.267291
-1.4625444,2663,2960.317568
1.3064388,2420,3041.448897
-0.12570502,2421,3120.187588
-2.2969677,2218,3192.689471
-3.0002205,1146,3229.916067
-1.8093696,2222,3302.092809
1.0350134,2117,3371.614688
-2.266919,2037,3439.684185
-0.7520836,2211,3512.041512
-1.9198647,2083,3581.13845
-0.93819076,1925,3644.802045
-1.5074924,1956,3708.800256
-0.8729802,1809,3767.728928
-1.2642697,1829,3828.13232
-1.0772169,1858,3889.483352
-2.8099077,1769,3948.386229
-1.4890091,1876,4010.919394
-1.2631706,1772,4069.064424
-1.2994508,1909,4131.707498
