#{"t_start": 1631300185.3002076, "env_id": null}
r,l,t
0.65528244,311,1.809961
-0.7883308,314,3.526977
-0.31902188,307,5.350931
0.65563625,347,7.255838
-0.41268972,363,9.248696
0.5023573,331,11.037671
-0.751729,282,12.629755
-1.028711,351,14.588633
0.2632488,347,16.654448
-0.73514414,305,18.335484
-0.47657707,342,20.126458
-0.4228973,394,22.222255
-0.60599583,348,24.04521
-0.43549103,334,25.807199
-0.35964814,347,27.7221
-0.5842031,355,29.686974
-0.9298922,348,31.721809
-0.4077673,347,33.651701
0.018816704,337,35.48265
1.3557987,331,37.368569
-0.6664859,391,39.572304
-0.72280025,377,41.522187
-0.9463152,365,43.515043
0.3175712,377,45.573862
-0.8607106,333,47.399817
-0.70851463,287,49.145813
-0.45491537,389,51.21463
0.18802316,345,53.191494
0.09308169,371,55.0994
-0.40047136,361,57.056277
0.61130893,361,58.979175
-0.64907086,357,60.94005
-0.49899465,324,62.885934
0.27707028,370,64.920768
-0.8387377,322,66.801688
-0.4887054,405,68.921473
-0.52571934,340,70.776409
-0.55355173,376,72.752277
1.5371104,356,74.712151
-0.18484442,308,76.571085
-1.04712,362,78.483988
-0.8097662,383,80.57579
0.15232442,382,82.680582
0.08980025,344,84.521526
0.29566827,325,86.330488
-0.4655582,340,88.197418
-0.61888266,360,90.127311
-0.26020068,396,92.242098
-0.76692235,360,94.216969
-0.73182845,347,96.096888
-0.74665284,356,98.056764
-0.9133135,352,100.007645
-1.5339366,373,101.987509
-0.62545687,333,103.826455
-0.43739682,362,105.736359
-0.29293546,346,107.578305
-0.11340554,293,109.209368
-0.09501763,311,111.078296
-0.8217955,359,113.002193
0.34437382,288,114.64925
0.70071816,358,116.67209
0.66772336,329,118.48505
-0.6567465,320,120.352978
-0.30057648,309,122.111968
-0.30792314,320,123.998886
0.7720346,295,125.698912
-0.6108145,297,127.415927
-0.13996859,280,129.064981
-0.7221351,305,130.775
-0.55092585,356,132.746869
0.14263964,286,134.381931
0.71330327,369,136.345807
0.8217967,331,138.235723
-0.57703596,375,140.176608
0.22697195,366,142.120492
0.30839404,308,143.968433
-0.30048937,348,145.775397
0.34461728,331,147.613344
-1.204107,329,149.407315
-0.026120048,369,151.492118
-0.4871776,331,153.432006
-1.114756,319,155.194995
-0.20789918,314,156.853044
-0.6024043,306,158.62403
-0.75423074,379,160.560918
-0.8585516,330,162.429846
-3.1514075,11,162.485814
0.17959556,354,164.372731
-0.51901406,344,166.371588
-0.33699408,336,168.222524
-0.42311308,333,170.049475
-0.45230198,296,171.745504
-0.14749345,277,173.365575
-0.15915155,319,175.106576
-0.24781759,308,176.77362
-0.2271533,349,178.653542
0.29603812,323,180.388547
-0.15200692,329,182.225493
-0.6547024,358,184.191367
-0.32650778,303,185.981341
