#{"t_start": 1631282371.2344317, "env_id": null}
r,l,t
-1.5741674,2117,72.476434
-1.4380307,2271,153.864757
-1.6162307,2300,236.218528
-1.2545128,2286,317.343004
-1.4444717,2185,394.842557
-1.5886093,2154,471.456622
-1.5372081,2175,548.771279
-1.7373295,2131,625.026546
-1.5763192,2185,716.211747
-1.5508889,2223,809.481257
-1.6110724,2175,901.61342
-1.5559607,2105,990.5794
-1.5579611,2118,1079.961138
-1.5870055,2210,1172.995783
-1.63868,2112,1261.798855
-1.5415956,2233,1355.668022
-1.4757001,2073,1440.231525
-1.6000456,2116,1526.771896
-1.5188543,2031,1616.006719
-1.4979777,2078,1711.985674
-1.6774659,2029,1788.817612
-1.5554966,2196,1870.408819
-1.4169844,2165,1954.38735
