#{"t_start": 1630973360.3089917, "env_id": null}
r,l,t
-2.8762856,1411,49.280325
0.15761657,1397,102.544777
-1.2642957,1501,161.052223
-1.050116,1492,215.673898
-0.8677989,1508,265.21149
-1.4702021,1504,320.435817
-1.4108756,1506,375.385304
-1.6459013,1567,429.866059
-2.1032617,1484,481.443479
-1.8310316,1471,532.970928
-2.0002465,1472,581.706999
-1.3098786,1439,624.715314
-1.8249383,1383,666.139558
-1.3823248,1542,712.227126
-1.4883482,1499,756.92749
-1.851292,1530,804.572166
-1.634205,1513,850.094059
-1.5805683,1527,898.954038
-1.559303,1557,947.804024
-1.3587914,1578,1004.603449
-1.3964785,1532,1062.756099
-1.394801,1650,1117.710582
-1.8221114,1645,1170.168498
-1.7864659,1570,1217.21252
-1.6917396,1559,1265.758678
-1.5507454,1540,1315.368226
-1.657465,1491,1360.858158
-1.5118966,1424,1405.752391
-1.3327087,1482,1451.85695
-1.6048876,1489,1498.105427
-1.8009536,1468,1552.019508
-1.7004006,1493,1607.391753
-1.7740821,1530,1666.367516
-1.479193,1551,1723.5116
-1.2861933,1489,1776.665118
-1.0020115,1529,1832.043358
-1.2224523,1461,1885.514693
-1.0459844,1547,1938.61624
-1.604125,1487,1995.49162
-1.7307783,1565,2054.441813
-1.2644802,1536,2109.54721
-1.1938297,1546,2165.212287
-1.5960588,1530,2222.644348
-1.4824907,1511,2277.920648
-1.2546618,1555,2332.510341
-0.3059689,1489,2384.731392
-1.1895199,1419,2435.60122
-0.6954808,1415,2488.078123
-1.2835737,1500,2541.719363
-1.3013161,1414,2592.781076
-1.3135433,1358,2642.702446
-1.552044,1427,2694.817558
-0.88861775,1453,2749.623129
-1.6371646,1448,2801.66728
-1.4385117,1500,2854.977708
-0.9268645,1464,2908.742873
-1.2706528,1427,2958.332433
-1.1486562,1382,3010.531498
-1.4207463,1453,3062.422738
-1.4564886,1487,3116.292868
-1.1981131,1453,3167.433515
-0.8233784,1456,3218.365306
-1.0903525,1534,3273.281811
-1.22207,1492,3327.034984
-1.7640747,1528,3381.869537
-1.9220299,1399,3434.361435
0.2730466,1370,3483.651165
-1.3594171,1379,3532.587104
-1.2945448,1426,3585.328855
-0.99960804,1407,3636.377504
-0.3653409,1355,3687.120404
-0.68417877,1338,3730.240674
-0.7129809,1345,3778.87878
-1.602725,1397,3827.389961
-1.2613314,1388,3874.38301
-1.3616517,1414,3922.45444
-2.0483892,1326,3967.674507
-0.8860698,1373,4014.193828
-1.5741098,1348,4060.249415
-1.445895,1406,4107.841122
-1.0070953,1321,4153.328039
-1.2807547,1412,4201.134642
-1.6332175,1358,4247.034298
-1.4505447,1390,4294.744933
-1.3293133,1329,4339.732132
-1.0661194,1443,4388.613102
-0.993198,1395,4435.669113
-1.2633611,1421,4483.789516
-1.6447582,1348,4529.834109
-0.8849695,1349,4575.576876
-1.5097181,1434,4623.878177
-0.95990926,1402,4671.548838
-1.6876187,1381,4718.133121
-1.310712,1323,4762.72255
-1.5727237,1392,4809.551693
-1.514398,1447,4858.433661
-0.98852456,1462,4907.675419
-1.0575137,1360,4953.31227
-1.0389146,1443,5001.790446
-0.9582926,1400,5048.994375
