#{"t_start": 1631354988.8714797, "env_id": null}
r,l,t
-1.2279127,81,0.38778
-1.9337678,54,1.808506
-1.0243589,58,4.143581
-1.1741157,63,6.662128
-1.0695758,63,9.263863
-1.2519482,61,11.664249
-1.0521737,61,14.081302
-1.2102454,59,16.378456
-1.0026,60,18.769529
-1.2890974,62,21.179204
-1.0513154,63,23.726148
-1.102662,58,25.960172
-1.1699294,61,28.366472
-1.1010884,60,30.697179
-1.3859752,65,33.241269
-1.2203128,59,35.623444
-1.2644882,68,38.347415
-1.0663973,64,40.862597
-1.3213257,65,43.413339
-1.130779,61,45.792648
-1.1374654,62,48.2333
-1.1361276,63,50.791384
-1.25681,66,53.426447
-1.322437,63,55.916405
-1.1945256,63,58.374109
-1.1534042,64,60.848521
-0.9860065,62,63.30415
-0.8407967,60,65.655239
-1.0764565,65,68.241307
-0.82378995,60,70.614898
-0.9930272,61,73.011345
-1.0759306,60,75.374365
-1.0669388,63,77.916013
-1.1058044,61,80.315068
-1.0600972,61,82.754969
-1.0973055,62,85.288952
-3.4349267,11,85.719704
-1.0220805,58,88.034328
-1.1512458,59,90.377023
-1.2071242,62,92.830243
-1.3038733,59,95.12904
-1.2185864,60,97.445155
-1.174624,59,99.861184
-1.1549627,59,102.214493
-1.0916053,60,104.621961
-1.0722066,62,107.075114
-1.0092927,60,109.437591
-1.1022991,61,111.811834
-1.2191209,56,114.098947
-0.9522059,62,116.96835
-1.3194652,62,119.820266
-1.059758,65,122.807035
-1.1264315,59,125.413285
-1.0630152,60,128.216309
-1.1081145,62,130.998255
-1.1102219,61,133.771224
-1.168572,61,136.561002
-1.0736731,61,139.359784
-1.1689876,61,142.203325
-0.9668783,63,144.997055
-1.1152819,58,147.543325
-1.3495305,60,150.321283
-1.1506219,59,153.086263
-1.1916358,58,155.735274
-1.1020663,62,158.741037
-1.3135334,57,161.291984
-1.0495031,60,163.976964
-1.1112957,60,166.872395
-0.89516246,60,169.741554
-1.1431513,59,172.383988
-1.1849463,61,175.145936
-0.97950643,60,177.878632
-1.0898339,58,180.623801
-0.87100416,58,183.256716
-0.9343439,62,186.042184
-1.0032051,60,188.912134
-1.2036123,58,191.548153
-1.1434813,59,194.219965
-1.1706508,59,196.87693
-1.1984878,62,199.657464
-1.2462944,60,202.503788
-0.8731285,60,205.252786
-1.1480199,59,207.967829
-1.2811373,60,210.684829
-0.8942275,61,213.526386
-1.0943233,60,216.239655
-1.3318671,59,218.917734
-0.7098802,58,221.552106
-1.0970203,59,224.228068
-0.9290762,60,226.906749
-1.0932541,59,229.637792
-1.0984784,59,232.264025
-1.0677974,59,234.938652
-1.0494807,57,237.610778
-0.9890745,58,240.292032
-0.93060064,61,243.013983
-0.98988706,60,245.679757
-0.90236604,60,248.383886
-1.1169621,58,251.056915
-0.85661584,59,253.722939
-0.7440289,59,256.40011
-1.1106555,61,259.11473
-1.0026475,60,261.897069
-0.8257964,60,264.656479
-1.0951939,61,267.409912
-1.2016392,57,270.134105
-1.1605467,59,272.853056
-1.0554435,58,275.461805
-0.87975687,58,278.023749
-1.4590206,63,280.91006
-1.1087589,59,283.534088
-1.2368261,55,286.026731
-1.2479959,57,288.667635
-1.3410914,55,291.228113
-1.226414,58,293.833218
-1.418493,58,296.41581
-1.1419324,61,299.295384
-1.159533,57,301.843981
-1.0136527,60,304.612758
-1.2557718,58,307.215668
-1.1350596,60,309.883374
-1.0259798,59,312.540893
-0.72199315,59,315.351919
-0.82708687,56,317.903737
-1.0948113,60,320.713112
-1.159584,59,323.453285
-1.1653787,59,326.097706
-0.97631055,59,328.834192
-1.1558957,57,331.4115
-0.9960478,60,334.158342
-1.1496208,58,336.920664
-1.1079323,62,339.718024
-1.1554002,60,342.440026
-1.1200949,59,345.143572
-1.2255216,57,347.872479
-1.2040169,58,350.528564
-1.0496485,58,353.227093
-0.80372065,62,355.99672
-1.0546412,57,358.642776
-1.0090427,61,361.390668
-1.0944427,60,364.248603
-1.1466584,58,366.834673
-0.9982351,60,369.545059
-1.0604248,62,372.331096
-1.0237387,58,375.007999
-1.1859133,59,377.71589
-0.89832145,58,380.344517
-1.0314671,59,382.978649
-1.0102699,59,385.628172
-1.15416,54,388.057235
-1.2018305,59,390.801621
-1.2400925,57,393.406878
-0.9255106,59,396.084913
-1.0549021,59,398.775695
-0.9964623,60,401.510157
-1.1645993,60,404.336982
-1.2028596,55,406.824755
-1.10907,59,409.532938
-1.2279953,58,412.172522
-1.170293,60,414.885937
-1.1717076,56,417.366443
-0.9433135,60,420.207827
-0.9990413,61,422.978538
-1.0026528,61,425.793442
-0.9886452,59,428.634412
-0.98414266,59,431.291166
-1.0841618,60,433.957281
-0.9284247,57,436.507428
-1.0687169,56,439.029798
-1.0010866,58,441.753598
-1.0688761,62,444.610858
-0.95139647,59,447.291145
-1.1047428,59,449.948871
-1.0374867,60,452.627472
-1.1510081,61,455.376285
-1.2695694,56,457.977462
-1.2268726,56,460.58457
-1.0348978,57,463.184613
-1.0806257,58,465.78779
-1.0074286,58,468.365126
-1.1496297,58,471.062685
-1.0788645,57,473.641615
-1.1700832,58,476.277679
-1.0931317,61,479.093755
-1.0321074,59,481.747379
-1.0816044,59,484.488623
-1.1050087,58,487.127694
-1.1980004,58,489.790748
-1.1280975,58,492.462314
-1.0488753,59,495.23343
-0.89283663,60,498.042435
-1.1018574,60,500.758601
-1.0175004,59,503.406218
-0.9367172,60,506.090437
-0.8783904,59,508.790791
-1.0707105,62,511.698784
-1.0637907,62,514.537115
-1.1072567,59,517.15223
-0.7803538,60,519.8757
-1.109949,58,522.587373
-1.0104325,58,525.244381
-1.0923924,58,527.891468
